year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2006,IX,H,12.47,71.36,73.33,96.61,73.33,87.70,72.87,66.17,31.41,93.76,71.99,17.17,35.35,105.48,85.35,28.73,9.27,6.12,37.22,65.22,69.99,5.97,65.82,30.01,78.68,55.4,64.5,7.0,31.2,19.3,12.8,3.8,83.4, ,10.1,19.1,15.6,15.9,48.7,11.8,25.7,28.2,39.9,83.6,7.7,463418,476618,247522
2009,IX,H,12.34,75.31,77.37,98.43,77.37,89.39,74.19,68.74,39.76,94.29,68.00,23.08,26.93,106.11,78.38,19.51,9.24,5.90,35.79,69.49,65.10,12.00,57.29,34.90,78.51,46.4,63.7,6.4,30.6,18.7,14.4,3.7,85.5, ,13.5,26.4,20.7,20.9,59.5,17.1,30.3,31.5,36.1,88.7,9.5,493019,525695,340198
1990,RM,H,23.96,67.85,82.76,99.15,92.17,84.97,62.04,71.18,20.57,90.96,64.39,17.46,30.80,102.54,68.15,12.85,10.17,2.33,35.08,56.97,74.30,7.18,68.96,25.70,87.00,,74.8,10.9,34.7,23.5,8.8,4.2,58.1, ,5.2,32.8,29.5,29.1,,,,,,,,193630,194912,108021
1992,RM,H,21.04,66.17,87.42,99.09,89.05,90.22,65.21,72.68,21.70,90.04,62.62,16.54,27.00,101.36,80.56,29.20,10.06,2.62,33.99,57.37,77.38,4.10,74.20,22.62,88.22,66.1,74.9,10.7,34.5,23.3,8.9,4.1,52.1, ,6.9,25.6,22.5,22.4,,,,,,,,320719,322537,177142
1994,RM,H,20.71,75.74,87.66,99.79,89.06,90.99,63.86,71.13,25.11,91.00,59.87,24.04,28.92,106.01,67.78,17.23,10.17,2.20,33.34,59.65,76.52,5.24,72.50,23.48,83.25,76.1,73.7,9.9,33.7,23.0,8.5,4.1,52.0, ,6.7,19.4,16.7,16.7,,,,,,,,432668,403885,249036
1996,RM,H,18.27,82.62,91.48,99.56,91.48,94.48,66.60,72.75,25.15,92.01,64.01,28.18,20.91,106.40,79.97,14.93,10.62,2.07,31.77,62.59,77.16,4.19,73.93,22.84,83.05,71.0,75.9,10.0,34.7,21.0,8.3,4.2,45.0, ,8.7,14.5,12.1,12.1,,,,2.2,,,3.5,565687,568517,310292
1998,RM,H,17.31,82.08,91.12,99.85,91.12,93.84,68.92,71.19,25.15,91.28,64.90,24.28,26.27,101.47,73.76,11.48,10.71,2.22,35.09,64.13,76.70,9.05,69.75,23.30,81.64,69.2,74.5,9.4,34.8,20.5,8.5,4.0,49.6, ,8.0,15.2,12.0,12.1,,,,,,,,658182,661171,373966
2000,RM,H,15.43,84.11,93.77,99.89,93.77,96.06,68.86,71.74,27.32,91.77,65.98,26.87,58.43,101.91,79.99,26.34,10.96,1.97,33.17,66.54,75.20,9.61,67.98,24.80,81.81,68.2,74.8,8.8,34.6,20.2,8.4,4.0,53.6, ,11.0,15.1,11.6,12.0,25.3,13.5,25.8,2.9,45.1,59.4,3.9,713245,716640,402773
2003,RM,H,12.97,85.48,95.00,99.87,95.00,97.23,68.49,70.35,29.66,92.56,71.27,31.20,33.28,103.16,82.57,35.20,11.27,1.93,27.45,67.56,75.58,8.17,69.41,24.42,81.57,68.0,75.6,8.1,32.0,20.7,9.3,4.0,61.2, ,8.3,12.8,10.1,10.4,41.0,20.3,36.0,3.1,53.3,68.3,3.2,803835,807503,469087
2006,RM,H,11.48,84.25,96.68,99.91,96.68,98.26,67.15,67.19,37.98,91.45,68.22,30.14,40.07,93.85,109.77,28.27,11.07,2.04,12.39,69.29,75.40,6.01,70.86,24.60,82.80,69.8,76.3,7.2,30.7,20.3,10.7,3.9,66.0, ,7.4,10.1,7.6,7.8,56.1,30.9,47.6,4.2,51.3,87.4,6.0,889335,893544,440804
